time,open,high,low,close,SPY
1399852800,2.25,2.25,2.25,2.25,189.785
1399939200,2.22,2.22,2.22,2.22,189.96
1400025600,2.15,2.15,2.15,2.15,189.06
1400112000,2.12,2.12,2.12,2.12,187.4
1400198400,2.14,2.14,2.14,2.14,188.05
1400457600,2.18,2.18,2.18,2.18,188.74
1400544000,2.17,2.17,2.17,2.17,187.55
1400630400,2.17,2.17,2.17,2.17,189.13
1400716800,2.19,2.19,2.19,2.19,189.59
1400803200,2.17,2.17,2.17,2.17,190.35
1401148800,2.13,2.13,2.13,2.13,191.52
1401235200,2.07,2.07,2.07,2.07,191.38
1401321600,2.08,2.08,2.08,2.08,192.37
1401408000,2.11,2.11,2.11,2.11,192.68
1401667200,2.15,2.15,2.15,2.15,192.895
1401753600,2.19,2.19,2.19,2.19,192.8
1401840000,2.2,2.2,2.2,2.2,193.19
1401926400,2.19,2.19,2.19,2.19,194.45
1402012800,2.19,2.19,2.19,2.19,195.375
1402272000,2.19,2.19,2.19,2.19,195.58
1402358400,2.19,2.19,2.19,2.19,195.6
1402444800,2.21,2.21,2.21,2.21,194.92
1402531200,2.16,2.16,2.16,2.16,193.54
1402617600,2.15,2.15,2.15,2.15,194.13
1402876800,2.12,2.12,2.12,2.12,194.29
1402963200,2.15,2.15,2.15,2.15,194.83
1403049600,2.13,2.13,2.13,2.13,196.255
1403136000,2.16,2.16,2.16,2.16,196.48
1403222400,2.13,2.13,2.13,2.13,195.94
1403481600,2.15,2.15,2.15,2.15,195.88
1403568000,2.1,2.1,2.1,2.1,194.7
1403654400,2.09,2.09,2.09,2.09,195.58
1403740800,2.07,2.07,2.07,2.07,195.44
1403827200,2.09,2.09,2.09,2.09,195.82
1404086400,2.06,2.06,2.06,2.06,195.72
1404172800,2.11,2.11,2.11,2.11,197.03
1404259200,2.15,2.15,2.15,2.15,197.23
1404345600,2.13,2.13,2.13,2.13,198.2
1404691200,2.11,2.11,2.11,2.11,197.51
1404777600,2.07,2.07,2.07,2.07,196.24
1404864000,2.06,2.06,2.06,2.06,197.12
1404950400,2.09,2.09,2.09,2.09,196.34
1405036800,2.05,2.05,2.05,2.05,196.61
1405296000,2.07,2.07,2.07,2.07,197.6
1405382400,2.07,2.07,2.07,2.07,197.23
1405468800,2.05,2.05,2.05,2.05,197.96
1405555200,2,2,2,2,195.71
1405641600,1.99,1.99,1.99,1.99,197.7099
1405900800,1.98,1.98,1.98,1.98,197.34
1405987200,1.99,1.99,1.99,1.99,198.2
1406073600,1.98,1.98,1.98,1.98,198.64
1406160000,1.99,1.99,1.99,1.99,198.65
1406246400,1.95,1.95,1.95,1.95,197.72
1406505600,1.96,1.96,1.96,1.96,197.8
1406592000,1.93,1.93,1.93,1.93,196.95
1406678400,2.01,2.01,2.01,2.01,196.98
1406764800,2.05,2.05,2.05,2.05,193.09
1406851200,2.05,2.05,2.05,2.05,192.5
1407110400,2.04,2.04,2.04,2.04,193.89
1407196800,2.02,2.02,2.02,2.02,192.01
1407283200,2.01,2.01,2.01,2.01,192.07
1407369600,1.99,1.99,1.99,1.99,191.03
1407456000,1.99,1.99,1.99,1.99,193.24
1407715200,1.97,1.97,1.97,1.97,193.795
1407801600,2.01,2.01,2.01,2.01,193.53
1407888000,2,2,2,2,194.84
1407974400,1.98,1.98,1.98,1.98,195.76
1408060800,1.92,1.92,1.92,1.92,195.72
1408320000,1.95,1.95,1.95,1.95,197.36
1408406400,1.94,1.94,1.94,1.94,198.39
1408492800,1.94,1.94,1.94,1.94,198.92
1408579200,1.92,1.92,1.92,1.92,199.5
1408665600,1.87,1.87,1.87,1.87,199.19
1408924800,1.86,1.86,1.86,1.86,200.2
1409011200,1.87,1.87,1.87,1.87,200.33
1409097600,1.86,1.86,1.86,1.86,200.25
1409184000,1.84,1.84,1.84,1.84,200.14
1409270400,1.87,1.87,1.87,1.87,200.71
1409616000,1.89,1.89,1.89,1.89,200.61
1409702400,1.89,1.89,1.89,1.89,200.5
1409788800,1.91,1.91,1.91,1.91,200.2101
1409875200,1.94,1.94,1.94,1.94,201.11
1410134400,1.94,1.94,1.94,1.94,200.59
1410220800,1.94,1.94,1.94,1.94,199.32
1410307200,1.96,1.96,1.96,1.96,200.07
1410393600,1.96,1.96,1.96,1.96,200.3
1410480000,2.04,2.04,2.04,2.04,199.13
1410739200,2.02,2.02,2.02,2.02,198.981
1410825600,2.05,2.05,2.05,2.05,200.48
1410912000,2.03,2.03,2.03,2.03,200.75
1410998400,2.04,2.04,2.04,2.04,201.82
1411084800,2,2,2,2,200.7
1411344000,1.99,1.99,1.99,1.99,199.15
1411430400,1.97,1.97,1.97,1.97,198.01
1411516800,1.98,1.98,1.98,1.98,199.56
1411603200,1.96,1.96,1.96,1.96,196.34
1411689600,1.95,1.95,1.95,1.95,197.9
1411948800,1.92,1.92,1.92,1.92,197.54
1412035200,1.94,1.94,1.94,1.94,197.02
1412121600,1.89,1.89,1.89,1.89,194.35
1412208000,1.91,1.91,1.91,1.91,194.38
1412294400,1.88,1.88,1.88,1.88,196.52
1412553600,1.89,1.89,1.89,1.89,196.29
1412640000,1.84,1.84,1.84,1.84,193.26
1412726400,1.89,1.89,1.89,1.89,196.64
1412812800,1.88,1.88,1.88,1.88,192.74
1412899200,1.86,1.86,1.86,1.86,190.54
1413244800,1.82,1.82,1.82,1.82,187.7
1413331200,1.81,1.81,1.81,1.81,186.43
1413417600,1.82,1.82,1.82,1.82,186.27
1413504000,1.83,1.83,1.83,1.83,188.47
1413763200,1.83,1.83,1.83,1.83,190.3
1413849600,1.85,1.85,1.85,1.85,194.07
1413936000,1.84,1.84,1.84,1.84,192.69
1414022400,1.88,1.88,1.88,1.88,194.93
1414108800,1.88,1.88,1.88,1.88,196.43
1414368000,1.86,1.86,1.86,1.86,196.16
1414454400,1.88,1.88,1.88,1.88,198.41
1414540800,1.86,1.86,1.86,1.86,198.11
1414627200,1.84,1.84,1.84,1.84,199.38
1414713600,1.85,1.85,1.85,1.85,201.66
1414972800,1.84,1.84,1.84,1.84,201.77
1415059200,1.83,1.83,1.83,1.83,201.07
1415145600,1.84,1.84,1.84,1.84,202.34
1415232000,1.85,1.85,1.85,1.85,203.15
1415318400,1.81,1.81,1.81,1.81,203.34
1415577600,1.83,1.83,1.83,1.83,203.98
1415750400,1.82,1.82,1.82,1.82,203.96
1415836800,1.82,1.82,1.82,1.82,204.19
1415923200,1.78,1.78,1.78,1.78,204.24
1416182400,1.8,1.8,1.8,1.8,204.37
1416268800,1.79,1.79,1.79,1.79,205.55
1416355200,1.82,1.82,1.82,1.82,205.22
1416441600,1.81,1.81,1.81,1.81,205.58
1416528000,1.78,1.78,1.78,1.78,206.68
1416787200,1.77,1.77,1.77,1.77,207.26
1416873600,1.76,1.76,1.76,1.76,207.11
1416960000,1.71,1.71,1.71,1.71,207.64
1417132800,1.71,1.71,1.71,1.71,207.2
1417392000,1.73,1.73,1.73,1.73,205.76
1417478400,1.73,1.73,1.73,1.73,207.085
1417564800,1.72,1.72,1.72,1.72,207.89
1417651200,1.7,1.7,1.7,1.7,207.66
1417737600,1.66,1.66,1.66,1.66,208
1417996800,1.62,1.62,1.62,1.62,206.61
1418083200,1.58,1.58,1.58,1.58,206.47
1418169600,1.59,1.59,1.59,1.59,203.1601
1418256000,1.57,1.57,1.57,1.57,204.19
1418342400,1.54,1.54,1.54,1.54,200.89
1418601600,1.52,1.52,1.52,1.52,199.51
1418688000,1.49,1.49,1.49,1.49,197.91
1418774400,1.52,1.52,1.52,1.52,201.79
1418860800,1.55,1.55,1.55,1.55,206.78
1418947200,1.5,1.5,1.5,1.5,206.52
1419206400,1.46,1.46,1.46,1.46,207.47
1419292800,1.53,1.53,1.53,1.53,207.75
1419379200,1.54,1.54,1.54,1.54,207.77
1419552000,1.52,1.52,1.52,1.52,208.44
1419811200,1.5,1.5,1.5,1.5,208.72
1419897600,1.51,1.51,1.51,1.51,207.6
1419984000,1.5,1.5,1.5,1.5,205.54
1420156800,1.46,1.46,1.46,1.46,205.43
1420416000,1.36,1.36,1.36,1.36,201.72
1420502400,1.32,1.32,1.32,1.32,199.82
1420588800,1.34,1.34,1.34,1.34,202.31
1420675200,1.41,1.41,1.41,1.41,205.9
1420761600,1.39,1.39,1.39,1.39,204.25
1421020800,1.36,1.36,1.36,1.36,202.65
1421107200,1.37,1.37,1.37,1.37,202.08
1421193600,1.35,1.35,1.35,1.35,200.86
1421280000,1.33,1.33,1.33,1.33,199.0199
1421366400,1.34,1.34,1.34,1.34,201.63
1421712000,1.29,1.29,1.29,1.29,202.055
1421798400,1.34,1.34,1.34,1.34,203.08
1421884800,1.37,1.37,1.37,1.37,206.1
1421971200,1.29,1.29,1.29,1.29,204.97
1422230400,1.29,1.29,1.29,1.29,205.45
1422316800,1.29,1.29,1.29,1.29,202.74
1422403200,1.23,1.23,1.23,1.23,200.14
1422489600,1.26,1.26,1.26,1.26,201.9902
1422576000,1.21,1.21,1.21,1.21,199.45
1422835200,1.19,1.19,1.19,1.19,201.92
1422921600,1.27,1.27,1.27,1.27,204.84
1423008000,1.29,1.29,1.29,1.29,204.06
1423094400,1.31,1.31,1.31,1.31,206.12
1423180800,1.3,1.3,1.3,1.3,205.55
1423440000,1.31,1.31,1.31,1.31,204.63
1423526400,1.34,1.34,1.34,1.34,206.81
1423612800,1.33,1.33,1.33,1.33,206.93
1423699200,1.38,1.38,1.38,1.38,208.92
1423785600,1.36,1.36,1.36,1.36,209.78
1424131200,1.44,1.44,1.44,1.44,210.11
1424217600,1.45,1.45,1.45,1.45,210.13
1424304000,1.44,1.44,1.44,1.44,209.98
1424390400,1.46,1.46,1.46,1.46,211.239
1424649600,1.42,1.42,1.42,1.42,211.209
1424736000,1.39,1.39,1.39,1.39,211.81
1424822400,1.35,1.35,1.35,1.35,211.63
1424908800,1.37,1.37,1.37,1.37,211.38
1424995200,1.37,1.37,1.37,1.37,210.66
1425254400,1.42,1.42,1.42,1.42,211.99
1425340800,1.44,1.44,1.44,1.44,211.12
1425427200,1.46,1.46,1.46,1.46,210.2301
1425513600,1.46,1.46,1.46,1.46,210.46
1425600000,1.51,1.51,1.51,1.51,207.5
1425859200,1.5,1.5,1.5,1.5,208.36
1425945600,1.44,1.44,1.44,1.44,204.98
1426032000,1.41,1.41,1.41,1.41,204.5
1426118400,1.43,1.43,1.43,1.43,207.1
1426204800,1.45,1.45,1.45,1.45,205.8272
1426464000,1.44,1.44,1.44,1.44,208.58
1426550400,1.36,1.36,1.36,1.36,207.96
1426636800,1.36,1.36,1.36,1.36,210.46
1426723200,1.35,1.35,1.35,1.35,209.5
1426809600,1.33,1.33,1.33,1.33,210.41
1427068800,1.32,1.32,1.32,1.32,210
1427155200,1.3,1.3,1.3,1.3,208.82
1427241600,1.34,1.34,1.34,1.34,205.76
1427328000,1.4,1.4,1.4,1.4,205.27
1427414400,1.37,1.37,1.37,1.37,205.74
1427673600,1.38,1.38,1.38,1.38,208.25
1427760000,1.38,1.38,1.38,1.38,206.43
1427846400,1.32,1.32,1.32,1.32,205.7
1427932800,1.37,1.37,1.37,1.37,206.435
1428019200,1.36,1.36,1.36,1.36,206.435
1428278400,1.41,1.41,1.41,1.41,207.83
1428364800,1.37,1.37,1.37,1.37,207.28
1428451200,1.38,1.38,1.38,1.38,207.975
1428537600,1.41,1.41,1.41,1.41,208.9
1428624000,1.39,1.39,1.39,1.39,210.04
1428883200,1.4,1.4,1.4,1.4,209.09
1428969600,1.37,1.37,1.37,1.37,209.49
1429056000,1.4,1.4,1.4,1.4,210.43
1429142400,1.4,1.4,1.4,1.4,210.37
1429228800,1.36,1.36,1.36,1.36,207.95
1429488000,1.35,1.35,1.35,1.35,209.85
1429574400,1.37,1.37,1.37,1.37,209.6
1429660800,1.42,1.42,1.42,1.42,210.63
1429747200,1.41,1.41,1.41,1.41,211.16
1429833600,1.39,1.39,1.39,1.39,211.6499
1430092800,1.4,1.4,1.4,1.4,210.77
1430179200,1.44,1.44,1.44,1.44,211.44
1430265600,1.5,1.5,1.5,1.5,210.57
1430352000,1.47,1.47,1.47,1.47,208.46
1430438400,1.52,1.52,1.52,1.52,210.72
1430697600,1.56,1.56,1.56,1.56,211.32
1430784000,1.57,1.57,1.57,1.57,208.9
1430870400,1.6,1.6,1.6,1.6,208.04
1430956800,1.55,1.55,1.55,1.55,208.87
